match_id,match_date,competition,season,home_team,away_team,home_score,away_score,home_combined_delta,away_combined_delta,net_delta,bet_side,predicted_team,success,actual_home_xg,actual_away_xg
3890365,2015-11-08,1. Bundesliga,2015/2016,Borussia Dortmund,Schalke 04,3,2,1.2615797077810667,0.08065496694451,1.1809247408365566,home,Borussia Dortmund,True,1.647311706,1.4780999245000002
3890366,2015-11-08,1. Bundesliga,2015/2016,Augsburg,Werder Bremen,1,2,-0.10696298651351505,-0.6982994013085597,0.5913364147950446,home,Augsburg,False,1.5010340934,0.942897843
3890367,2015-11-20,1. Bundesliga,2015/2016,Hamburger SV,Borussia Dortmund,3,1,-0.12466399257112179,1.3277616829544012,-1.452425675525523,away,Borussia Dortmund,False,1.547297761,2.2993067568
3825662,2015-11-21,La Liga,2015/2016,RC Deportivo La Coruña,Celta Vigo,2,0,-0.611719306667657,-0.10609481563964912,-0.5056244910280079,away,Celta Vigo,False,1.077710241,1.135265155
3879617,2015-11-21,Serie A,2015/2016,Bologna,AS Roma,2,2,-0.1556475618040345,0.4565322716176287,-0.6121798334216633,away,AS Roma,False,1.4633642649999998,2.404475307
3890369,2015-11-21,1. Bundesliga,2015/2016,Schalke 04,Bayern Munich,1,3,0.3649155616220511,1.4909875406795003,-1.1260719790574494,away,Bayern Munich,True,0.323078937,2.075429379
3890371,2015-11-21,1. Bundesliga,2015/2016,FC Köln,FSV Mainz 05,0,0,-0.631656915062563,0.017986434629530562,-0.6496433496920936,away,FSV Mainz 05,False,1.100590004,0.43471519399999997
3890372,2015-11-21,1. Bundesliga,2015/2016,VfB Stuttgart,Augsburg,0,4,-0.18427768414660073,-0.6442964542752093,0.4600187701286086,home,VfB Stuttgart,False,0.882228351,2.023465794
3900513,2015-11-21,Ligue 1,2015/2016,Troyes,Lille,1,1,-0.2502287061080739,-0.9331359849745111,0.6829072788664372,home,Troyes,False,0.861097375,1.20093768
3900515,2015-11-21,Ligue 1,2015/2016,AS Monaco,Nantes,1,0,0.050930586957934454,-0.37368599536611735,0.4246165823240518,home,AS Monaco,True,0.7492219914,0.44033106
